real_name,game_id,player_id,lichess_game_id,date_utc,white,black,white_elo,black_elo,result,player_color,player_result,eco,opening,total_moves,termination,time_control,variant,move_times_json
"GM Vignesh, N R",1,1,xKzrLemq,2026.06.10,RishiChamp2013,Goodgoodchess,1859,2280,0-1,black,win,A29,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with Nb6",28,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:03"", ""0:05:04"", ""0:05:08"", ""0:05:07"", ""0:05:10"", ""0:05:10"", ""0:05:14"", ""0:05:10"", ""0:05:15"", ""0:05:09"", ""0:05:15"", ""0:05:07"", ""0:05:17"", ""0:04:52"", ""0:05:02"", ""0:04:42"", ""0:04:49"", ""0:04:44"", ""0:04:03"", ""0:04:45"", ""0:03:47"", ""0:04:35"", ""0:03:43"", ""0:04:08"", ""0:03:08"", ""0:04:09"", ""0:03:12"", ""0:04:13"", ""0:03:11"", ""0:04:17"", ""0:03:07"", ""0:04:20"", ""0:03:10"", ""0:04:20"", ""0:03:11"", ""0:03:45"", ""0:02:56"", ""0:03:49"", ""0:02:34"", ""0:03:49"", ""0:02:28"", ""0:03:52"", ""0:02:32"", ""0:03:51"", ""0:02:33"", ""0:03:47"", ""0:02:34"", ""0:03:50"", ""0:02:21"", ""0:03:53"", ""0:02:23"", ""0:03:55"", ""0:02:22"", ""0:03:53""]"
"GM Vignesh, N R",2,1,wT8wbDZE,2026.06.10,Goodgoodchess,RishiChamp2013,2280,1859,1-0,white,win,A19,"English Opening: Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit",23,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:04"", ""0:05:04"", ""0:05:07"", ""0:05:05"", ""0:05:10"", ""0:05:06"", ""0:05:08"", ""0:05:09"", ""0:04:27"", ""0:05:10"", ""0:04:31"", ""0:05:08"", ""0:04:23"", ""0:04:59"", ""0:04:27"", ""0:05:01"", ""0:04:31"", ""0:05:04"", ""0:04:32"", ""0:05:03"", ""0:04:29"", ""0:05:01"", ""0:04:29"", ""0:04:58"", ""0:04:11"", ""0:04:48"", ""0:04:13"", ""0:04:50"", ""0:04:16"", ""0:04:50"", ""0:04:16"", ""0:04:52"", ""0:04:10"", ""0:04:53"", ""0:03:55"", ""0:04:52"", ""0:03:57"", ""0:04:45"", ""0:03:58"", ""0:04:45"", ""0:03:50"", ""0:04:47"", ""0:03:50"", ""0:04:45""]"
"GM Vignesh, N R",3,1,2QOPQLNT,2026.06.10,RishiChamp2013,Goodgoodchess,1859,2280,0-1,black,win,C14,French Defense: Classical Variation,33,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:03"", ""0:05:04"", ""0:05:07"", ""0:05:06"", ""0:05:09"", ""0:05:04"", ""0:04:50"", ""0:05:08"", ""0:04:48"", ""0:05:12"", ""0:04:53"", ""0:05:15"", ""0:04:56"", ""0:05:19"", ""0:04:56"", ""0:05:22"", ""0:04:59"", ""0:05:26"", ""0:05:00"", ""0:05:30"", ""0:05:03"", ""0:05:34"", ""0:05:07"", ""0:05:37"", ""0:05:10"", ""0:05:38"", ""0:05:01"", ""0:05:39"", ""0:04:54"", ""0:05:42"", ""0:04:57"", ""0:05:29"", ""0:04:58"", ""0:05:13"", ""0:04:59"", ""0:05:17"", ""0:04:31"", ""0:05:21"", ""0:04:36"", ""0:05:20"", ""0:04:38"", ""0:05:23"", ""0:04:39"", ""0:05:21"", ""0:04:35"", ""0:05:25"", ""0:04:31"", ""0:05:28"", ""0:04:34"", ""0:05:24"", ""0:04:34"", ""0:05:25"", ""0:04:37"", ""0:05:28"", ""0:04:39"", ""0:05:27"", ""0:04:43"", ""0:05:23"", ""0:04:39"", ""0:05:27"", ""0:04:25"", ""0:05:30"", ""0:04:29"", ""0:05:31""]"
"GM Vignesh, N R",4,1,JsGKDbjd,2026.06.10,Goodgoodchess,RishiChamp2013,2280,1859,1-0,white,win,E70,King's Indian Defense: Normal Variation,29,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:03"", ""0:05:04"", ""0:05:07"", ""0:05:06"", ""0:05:11"", ""0:05:08"", ""0:05:15"", ""0:05:11"", ""0:05:19"", ""0:05:12"", ""0:05:22"", ""0:05:15"", ""0:05:25"", ""0:05:19"", ""0:05:25"", ""0:05:21"", ""0:05:29"", ""0:05:22"", ""0:05:22"", ""0:05:24"", ""0:05:20"", ""0:05:26"", ""0:05:14"", ""0:05:20"", ""0:05:17"", ""0:05:13"", ""0:05:09"", ""0:05:15"", ""0:05:10"", ""0:05:18"", ""0:05:11"", ""0:05:17"", ""0:05:05"", ""0:05:19"", ""0:05:09"", ""0:04:44"", ""0:05:09"", ""0:04:45"", ""0:05:05"", ""0:04:44"", ""0:05:05"", ""0:04:43"", ""0:05:08"", ""0:04:48"", ""0:04:58"", ""0:04:26"", ""0:05:00"", ""0:04:24"", ""0:04:57"", ""0:04:20"", ""0:04:58"", ""0:04:19"", ""0:04:59"", ""0:04:22"", ""0:04:56""]"
"GM Vignesh, N R",5,1,Pd61M0OP,2026.06.10,RishiChamp2013,Goodgoodchess,1859,2280,0-1,black,win,B13,Caro-Kann Defense: Exchange Variation,29,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:04:42"", ""0:05:04"", ""0:04:39"", ""0:05:08"", ""0:04:44"", ""0:05:10"", ""0:04:48"", ""0:05:11"", ""0:04:38"", ""0:04:53"", ""0:04:33"", ""0:04:51"", ""0:04:04"", ""0:04:54"", ""0:04:07"", ""0:04:55"", ""0:04:05"", ""0:04:59"", ""0:04:00"", ""0:05:00"", ""0:03:57"", ""0:05:01"", ""0:03:55"", ""0:04:49"", ""0:03:50"", ""0:04:51"", ""0:03:52"", ""0:04:49"", ""0:03:54"", ""0:04:52"", ""0:03:54"", ""0:04:49"", ""0:03:53"", ""0:04:53"", ""0:03:52"", ""0:04:30"", ""0:03:53"", ""0:04:32"", ""0:03:54"", ""0:04:33"", ""0:03:57"", ""0:04:29"", ""0:03:53"", ""0:04:28"", ""0:03:53"", ""0:04:32"", ""0:03:55"", ""0:04:33"", ""0:03:42"", ""0:04:34"", ""0:03:38"", ""0:04:33"", ""0:03:41"", ""0:04:35"", ""0:03:24"", ""0:04:32""]"
"GM Vignesh, N R",6,1,svV8JNTc,2026.06.10,Goodgoodchess,RishiChamp2013,2280,1859,1-0,white,win,B45,Sicilian Defense: Four Knights Variation,35,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:03"", ""0:05:02"", ""0:05:06"", ""0:05:05"", ""0:05:11"", ""0:05:06"", ""0:05:16"", ""0:05:09"", ""0:05:13"", ""0:05:02"", ""0:05:13"", ""0:04:57"", ""0:05:14"", ""0:05:00"", ""0:05:15"", ""0:04:51"", ""0:04:57"", ""0:04:51"", ""0:05:02"", ""0:04:53"", ""0:05:01"", ""0:04:54"", ""0:04:48"", ""0:04:44"", ""0:04:22"", ""0:04:33"", ""0:04:25"", ""0:04:08"", ""0:04:28"", ""0:04:13"", ""0:04:23"", ""0:04:13"", ""0:04:25"", ""0:04:14"", ""0:04:27"", ""0:04:16"", ""0:04:30"", ""0:04:18"", ""0:04:31"", ""0:04:18"", ""0:04:29"", ""0:04:21"", ""0:04:32"", ""0:04:24"", ""0:04:30"", ""0:04:28"", ""0:04:34"", ""0:04:07"", ""0:04:36"", ""0:04:07"", ""0:04:39"", ""0:04:08"", ""0:04:37"", ""0:03:56"", ""0:04:36"", ""0:03:40"", ""0:04:16"", ""0:03:35"", ""0:04:11"", ""0:03:32"", ""0:04:09"", ""0:03:03"", ""0:04:14"", ""0:02:46"", ""0:04:15"", ""0:02:50"", ""0:04:19""]"
"GM Vignesh, N R",7,1,tKAKyRLz,2026.06.09,shreyash_2007,Goodgoodchess,1952,2280,0-1,black,win,D01,Rapport-Jobava System,32,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:04"", ""0:05:04"", ""0:05:08"", ""0:05:06"", ""0:05:11"", ""0:05:10"", ""0:05:16"", ""0:05:14"", ""0:05:13"", ""0:05:18"", ""0:05:18"", ""0:05:22"", ""0:05:22"", ""0:05:23"", ""0:05:25"", ""0:05:24"", ""0:05:23"", ""0:05:10"", ""0:05:23"", ""0:05:14"", ""0:05:25"", ""0:05:18"", ""0:05:24"", ""0:05:19"", ""0:05:25"", ""0:05:17"", ""0:05:28"", ""0:05:20"", ""0:05:27"", ""0:05:10"", ""0:05:16"", ""0:05:15"", ""0:05:11"", ""0:04:58"", ""0:04:56"", ""0:04:57"", ""0:04:18"", ""0:04:56"", ""0:04:12"", ""0:03:24"", ""0:03:57"", ""0:03:25"", ""0:03:55"", ""0:03:20"", ""0:03:57"", ""0:03:20"", ""0:03:58"", ""0:03:11"", ""0:03:54"", ""0:03:06"", ""0:03:52"", ""0:02:50"", ""0:02:58"", ""0:02:49"", ""0:02:46"", ""0:02:45"", ""0:02:31"", ""0:02:49"", ""0:02:26"", ""0:02:51"", ""0:02:28"", ""0:02:50""]"
"GM Vignesh, N R",8,1,UwHdNDez,2026.06.09,Goodgoodchess,shreyash_2007,2280,1952,1-0,white,win,C97,"Ruy Lopez: Closed, Chigorin Defense",57,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:04"", ""0:05:04"", ""0:05:07"", ""0:05:04"", ""0:05:10"", ""0:05:06"", ""0:05:13"", ""0:05:10"", ""0:05:16"", ""0:05:15"", ""0:05:12"", ""0:05:15"", ""0:05:15"", ""0:05:19"", ""0:05:19"", ""0:05:20"", ""0:05:22"", ""0:05:25"", ""0:05:26"", ""0:05:24"", ""0:05:30"", ""0:05:13"", ""0:05:31"", ""0:05:14"", ""0:05:30"", ""0:05:10"", ""0:04:51"", ""0:05:15"", ""0:04:55"", ""0:05:15"", ""0:04:58"", ""0:05:12"", ""0:04:58"", ""0:05:15"", ""0:05:00"", ""0:05:20"", ""0:05:05"", ""0:05:22"", ""0:03:54"", ""0:05:19"", ""0:03:45"", ""0:05:10"", ""0:03:44"", ""0:04:46"", ""0:03:39"", ""0:04:40"", ""0:02:52"", ""0:04:21"", ""0:02:52"", ""0:04:19"", ""0:02:56"", ""0:03:19"", ""0:02:43"", ""0:03:24"", ""0:02:44"", ""0:03:07"", ""0:02:47"", ""0:03:12"", ""0:02:52"", ""0:03:14"", ""0:02:19"", ""0:02:45"", ""0:02:15"", ""0:02:44"", ""0:02:14"", ""0:02:46"", ""0:02:16"", ""0:02:33"", ""0:02:19"", ""0:02:29"", ""0:02:11"", ""0:02:25"", ""0:01:51"", ""0:02:08"", ""0:01:15"", ""0:01:35"", ""0:00:38"", ""0:00:40"", ""0:00:35"", ""0:00:35"", ""0:00:29"", ""0:00:39"", ""0:00:22"", ""0:00:13"", ""0:00:25"", ""0:00:15"", ""0:00:15"", ""0:00:19"", ""0:00:18"", ""0:00:21"", ""0:00:20"", ""0:00:20"", ""0:00:19"", ""0:00:21"", ""0:00:22"", ""0:00:20"", ""0:00:25"", ""0:00:09"", ""0:00:28"", ""0:00:07"", ""0:00:29"", ""0:00:12"", ""0:00:33"", ""0:00:13"", ""0:00:37"", ""0:00:18"", ""0:00:39"", ""0:00:22"", ""0:00:40"", ""0:00:25"", ""0:00:43""]"
"GM Vignesh, N R",9,1,3rJcCWhQ,2026.06.09,shreyash_2007,Goodgoodchess,1952,2280,0-1,black,win,B15,Caro-Kann Defense: Tartakower Variation,41,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:04"", ""0:05:04"", ""0:05:08"", ""0:05:08"", ""0:05:13"", ""0:05:13"", ""0:05:14"", ""0:05:18"", ""0:05:16"", ""0:05:23"", ""0:05:20"", ""0:05:28"", ""0:05:25"", ""0:05:33"", ""0:05:28"", ""0:05:32"", ""0:05:19"", ""0:05:31"", ""0:05:19"", ""0:05:35"", ""0:05:23"", ""0:05:36"", ""0:05:11"", ""0:05:39"", ""0:05:04"", ""0:05:40"", ""0:04:41"", ""0:05:25"", ""0:04:22"", ""0:05:22"", ""0:04:26"", ""0:05:16"", ""0:04:14"", ""0:05:00"", ""0:04:16"", ""0:05:04"", ""0:03:47"", ""0:04:53"", ""0:03:48"", ""0:04:55"", ""0:03:50"", ""0:04:51"", ""0:03:40"", ""0:04:56"", ""0:03:45"", ""0:05:01"", ""0:03:47"", ""0:05:05"", ""0:03:45"", ""0:04:54"", ""0:03:33"", ""0:04:42"", ""0:03:31"", ""0:04:36"", ""0:03:30"", ""0:04:17"", ""0:03:17"", ""0:04:12"", ""0:03:11"", ""0:04:09"", ""0:03:13"", ""0:04:09"", ""0:02:35"", ""0:04:13"", ""0:02:32"", ""0:04:17"", ""0:02:19"", ""0:04:21"", ""0:02:23"", ""0:04:15"", ""0:02:22"", ""0:04:17"", ""0:02:14"", ""0:04:17"", ""0:02:19"", ""0:04:22"", ""0:02:09"", ""0:04:26"", ""0:02:13"", ""0:04:30""]"
"GM Vignesh, N R",10,1,av76nuQl,2026.06.09,Goodgoodchess,shreyash_2007,2280,1952,1-0,white,win,A14,"English Opening: Agincourt Defense, Neo-Catalan Declined",29,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:03"", ""0:05:04"", ""0:05:07"", ""0:05:08"", ""0:05:12"", ""0:05:13"", ""0:05:15"", ""0:05:17"", ""0:05:19"", ""0:05:21"", ""0:05:22"", ""0:05:25"", ""0:05:26"", ""0:05:28"", ""0:05:28"", ""0:05:15"", ""0:05:02"", ""0:04:53"", ""0:05:05"", ""0:04:57"", ""0:04:59"", ""0:04:56"", ""0:05:04"", ""0:04:48"", ""0:05:05"", ""0:04:52"", ""0:05:08"", ""0:04:50"", ""0:05:10"", ""0:04:17"", ""0:04:08"", ""0:03:44"", ""0:03:43"", ""0:03:44"", ""0:03:28"", ""0:02:35"", ""0:03:23"", ""0:02:26"", ""0:03:21"", ""0:02:25"", ""0:03:23"", ""0:02:26"", ""0:03:16"", ""0:02:26"", ""0:03:15"", ""0:02:27"", ""0:03:19"", ""0:02:15"", ""0:03:17"", ""0:02:10"", ""0:03:17"", ""0:01:57"", ""0:03:17"", ""0:01:58"", ""0:03:21""]"
