real_name,lichess_game_id,eco,opening,structure_family,player_color,player_result
"GM Vignesh, N R",XxTaGnOh,B12,"Caro-Kann Defense: Advance Variation, Tal Variation",Advance Caro-Kann,black,loss
"GM Vignesh, N R",YeqYdonn,B12,"Caro-Kann Defense: Advance Variation, Tal Variation",Advance Caro-Kann,black,loss
"GM Vignesh, N R",GiROZxsS,B24,"Sicilian Defense: Closed, Fianchetto Variation",Anti-Sicilian Counter-Package,white,win
"GM Vignesh, N R",kTDPpENO,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,Anti-Sicilian Counter-Package,white,win
"GM Vignesh, N R",FuceVypZ,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,Anti-Sicilian Counter-Package,white,win
"GM Vignesh, N R",JSnCK6l9,B30,Sicilian Defense: Old Sicilian,Anti-Sicilian Counter-Package,white,win
"GM Vignesh, N R",UtkSZf2B,B22,Sicilian Defense: Alapin Variation,Anti-Sicilian Counter-Package,black,draw
"GM Vignesh, N R",0AkQoBPS,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,Anti-Sicilian Counter-Package,white,win
"GM Vignesh, N R",WSC4EYvR,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,Anti-Sicilian Counter-Package,white,win
"GM Vignesh, N R",W6MOZsqy,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,Anti-Sicilian Counter-Package,white,win
"IM Chan, Kim Yew",1FvIN5bX,B23,Sicilian Defense: Closed,Anti-Sicilian Counter-Package,white,win
"IM Chan, Kim Yew",aDmhfLDq,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",Anti-Sicilian Counter-Package,black,win
"IM Chan, Kim Yew",T892fnT8,B51,Sicilian Defense: Moscow Variation,Anti-Sicilian Counter-Package,white,loss
"IM Chan, Kim Yew",tdilpOMY,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",Anti-Sicilian Counter-Package,black,win
"IM Chan, Kim Yew",sy74undq,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",Anti-Sicilian Counter-Package,black,win
"GM Vignesh, N R",av76nuQl,A14,"English Opening: Agincourt Defense, Neo-Catalan Declined",Catalan / Réti Squeeze,white,win
"GM Vignesh, N R",jARsheSq,A07,King's Indian Attack: Yugoslav Variation,Catalan / Réti Squeeze,white,win
"GM Vignesh, N R",XKc4yRsn,A14,"English Opening: Agincourt Defense, Neo-Catalan Declined",Catalan / Réti Squeeze,white,win
"GM Vignesh, N R",Gv7FYOuO,A13,"English Opening: Agincourt Defense, Catalan Defense Accepted",Catalan / Réti Squeeze,white,win
"GM Vignesh, N R",b9oGD3O6,A14,"English Opening: Agincourt Defense, Neo-Catalan Declined",Catalan / Réti Squeeze,white,win
"GM Vignesh, N R",86wCQx0n,A07,"King's Indian Attack, with e6",Catalan / Réti Squeeze,white,win
"GM Vignesh, N R",n01iWA7E,E05,"Catalan Opening: Open Defense, Classical Line",Catalan / Réti Squeeze,white,win
"GM Vignesh, N R",TOw45Npw,A06,Zukertort Opening,Catalan / Réti Squeeze,black,win
"GM Vignesh, N R",lZDCHKFG,A06,Zukertort Opening,Catalan / Réti Squeeze,black,win
"GM Vignesh, N R",xkCBMZCk,E00,Catalan Opening,Catalan / Réti Squeeze,white,win
"GM Vignesh, N R",vmiDMdfS,A14,"English Opening: Agincourt Defense, Neo-Catalan Declined",Catalan / Réti Squeeze,white,win
"GM Vignesh, N R",C7pHxJGz,A08,Zukertort Opening: Reversed Grünfeld,Catalan / Réti Squeeze,white,win
"IM Chan, Kim Yew",M7514bMy,A05,King's Indian Attack: Symmetrical Defense,Catalan / Réti Squeeze,black,win
"IM Chan, Kim Yew",Xx9IZt1K,A01,Nimzo-Larsen Attack: Indian Variation,Catalan / Réti Squeeze,black,loss
"IM Chan, Kim Yew",kr9MRmLT,A06,Zukertort Opening: Reversed Mexican Defense,Catalan / Réti Squeeze,black,loss
